filename,deployment_id,species
20240402_071000.WAV,A001_SD001,Song Sparrow
20240404_164200.WAV,A001_SD001,Red-winged Blackbird
20240403_062400.WAV,A001_SD001,Song Sparrow
20240414_190700.WAV,A001_SD001,American Robin
20240414_194200.WAV,A001_SD001,American Robin
20240403_152500.WAV,A001_SD001,Wood Duck
20240405_143200.WAV,A001_SD001,Black-capped Chickadee
20240410_062500.WAV,A001_SD001,American Robin
20240411_071100.WAV,A001_SD001,Eastern Phoebe
20240406_141800.WAV,A001_SD001,Wood Duck
20240409_070100.WAV,A001_SD001,White-breasted Nuthatch
20240412_062600.WAV,A001_SD001,American Robin
20240401_062700.WAV,A001_SD001,American Robin
20240406_064100.WAV,A001_SD001,Song Sparrow
20240406_060400.WAV,A001_SD001,American Robin
20240402_064800.WAV,A001_SD001,Song Sparrow
20240405_193800.WAV,A001_SD001,Red-winged Blackbird
20240406_191200.WAV,A001_SD001,Black-capped Chickadee
20240405_061300.WAV,A001_SD001,Wood Duck
20240415_070101.WAV,A001_SD001,American Robin
20240406_063900.WAV,A001_SD001,American Robin
20240402_063000.WAV,A001_SD001,Song Sparrow
20240405_151200.WAV,A001_SD001,Red-winged Blackbird
20240416_061200.WAV,A001_SD001,American Robin
20240412_070600.WAV,A001_SD001,Black-capped Chickadee
20240414_061100.WAV,A001_SD001,Black-capped Chickadee
20240413_063200.WAV,A001_SD001,Wood Duck
20240406_142500.WAV,A001_SD001,Wood Duck
20240414_161100.WAV,A001_SD001,American Robin
20240407_061000.WAV,A001_SD001,Song Sparrow
20240414_155500.WAV,A001_SD001,American Robin
20240415_065901.WAV,A001_SD001,American Robin
20240414_151000.WAV,A001_SD001,Wood Duck
20240403_061900.WAV,A001_SD001,American Robin
20240401_070700.WAV,A001_SD001,Black-capped Chickadee
20240416_163600.WAV,A001_SD001,Black-capped Chickadee
20240416_063600.WAV,A001_SD001,American Robin
20240406_055900.WAV,A001_SD001,American Robin
20240405_063700.WAV,A001_SD001,Song Sparrow
20240414_142900.WAV,A001_SD001,Black-capped Chickadee
20240402_065100.WAV,A001_SD001,Song Sparrow
20240402_061400.WAV,A001_SD001,American Robin
20240406_065800.WAV,A001_SD001,Song Sparrow
20240406_070000.WAV,A001_SD001,Song Sparrow
20240402_070900.WAV,A001_SD001,Song Sparrow
20240407_063400.WAV,A001_SD001,Song Sparrow
20240414_153400.WAV,A001_SD001,Black-capped Chickadee
20240415_063801.WAV,A001_SD001,American Robin
20240413_055200.WAV,A001_SD001,American Robin
20240409_064000.WAV,A001_SD001,American Robin
20240414_063500.WAV,A001_SD001,American Robin
20240409_060500.WAV,A001_SD001,American Robin
20240411_070800.WAV,A001_SD001,Eastern Phoebe
20240414_163500.WAV,A001_SD001,Black-capped Chickadee
20240409_063800.WAV,A001_SD001,Blue Jay
20240410_064400.WAV,A001_SD001,Wood Duck
20240414_060800.WAV,A001_SD001,American Robin
20240405_141600.WAV,A001_SD001,Black-capped Chickadee
20240414_160800.WAV,A001_SD001,American Robin
20240414_192300.WAV,A001_SD001,American Robin
20240331_162000.WAV,A001_SD001,Blue Jay
20240404_062300.WAV,A001_SD001,Wood Duck
20240415_064001.WAV,A001_SD001,American Robin
20240407_060900.WAV,A001_SD001,Song Sparrow
20240414_141400.WAV,A001_SD001,Black-capped Chickadee
20240401_064600.WAV,A001_SD001,Black-capped Chickadee
20240408_055500.WAV,A001_SD001,American Robin
20240402_062900.WAV,A001_SD001,Song Sparrow
20240406_062000.WAV,A001_SD001,Wood Duck
20240405_192100.WAV,A001_SD001,Red-winged Blackbird
20240404_232000.WAV,A001_SD001,Blue Jay
20240411_062800.WAV,A001_SD001,Wood Duck
20240404_062100.WAV,A001_SD001,Wood Duck
20240415_064201.WAV,A001_SD001,American Robin
20240414_192100.WAV,A001_SD001,American Robin
20240405_145100.WAV,A001_SD001,Black-capped Chickadee
20240416_071400.WAV,A001_SD001,White-throated Sparrow
20240410_064600.WAV,A001_SD001,Black-capped Chickadee
20240405_141400.WAV,A001_SD001,Black-capped Chickadee
20240413_062900.WAV,A001_SD001,Wood Duck
20240404_152000.WAV,A001_SD001,Wood Duck
20240412_164500.WAV,A001_SD001,Blue Jay
20240412_064500.WAV,A001_SD001,Eastern Phoebe
20240408_161300.WAV,A001_SD001,Wood Duck
20240416_060900.WAV,A001_SD001,American Robin
20240406_190900.WAV,A001_SD001,American Robin
20240414_141600.WAV,A001_SD001,Black-capped Chickadee
20240401_064400.WAV,A001_SD001,Red-winged Blackbird
20240408_055700.WAV,A001_SD001,American Robin
20240406_062200.WAV,A001_SD001,Black-capped Chickadee
20240405_063500.WAV,A001_SD001,Blue Jay
20240402_065300.WAV,A001_SD001,Song Sparrow
20240402_061600.WAV,A001_SD001,American Robin
20240413_070900.WAV,A001_SD001,Black-capped Chickadee
20240416_163400.WAV,A001_SD001,Black-capped Chickadee
20240416_063400.WAV,A001_SD001,American Robin
20240414_063700.WAV,A001_SD001,American Robin
